iter	Logloss
0	0.553915239
1	0.4604575704
2	0.3929255427
3	0.3402707338
4	0.2949189638
5	0.266360986
6	0.2488612205
7	0.2299213265
8	0.2177119528
9	0.2063143373
10	0.1953615389
11	0.1861169243
12	0.1804744468
13	0.1748296037
14	0.1706066406
15	0.1659433565
16	0.1607989858
17	0.1569379754
18	0.1541872659
19	0.1515066947
20	0.1487154154
21	0.1468325546
22	0.1446412616
23	0.142463522
24	0.1407345557
25	0.1406647809
26	0.1384631723
27	0.1364991443
28	0.1351580275
29	0.1343346218
30	0.1324581546
31	0.131235022
32	0.1304685351
33	0.1287303059
34	0.1282798983
35	0.12712955
36	0.1257564171
37	0.1251277639
38	0.1243434891
39	0.123613013
40	0.1230039494
41	0.1224066968
42	0.1218744978
43	0.1212800004
44	0.1211183394
45	0.1201074204
46	0.119767328
47	0.1189973719
48	0.1181982326
49	0.1173850763
50	0.1170002231
51	0.1166480311
52	0.1157071915
53	0.1151197447
54	0.1147778125
55	0.1142468697
56	0.1136528791
57	0.1133758023
58	0.1127378364
59	0.1120260399
60	0.1112661971
61	0.1104801909
62	0.1099771322
63	0.1094614653
64	0.1093358697
65	0.1089082495
66	0.1083404658
67	0.1079625651
68	0.1075074975
69	0.1071321929
70	0.1065481225
71	0.1060992385
72	0.1058087245
73	0.1054243616
74	0.1051188142
75	0.104652961
76	0.104406115
77	0.1040505932
78	0.1036754595
79	0.1031552531
80	0.1026408466
81	0.1024762631
82	0.1019769526
83	0.1017073424
84	0.1013815626
85	0.1010304208
86	0.1005107255
87	0.1001284781
88	0.09976723569
89	0.09946992915
90	0.0992438716
91	0.09886419112
92	0.09856395751
93	0.09806904587
94	0.09776494121
95	0.09741931667
96	0.09717827343
97	0.09689654801
98	0.09667034691
99	0.09631356096
100	0.09594631162
101	0.09564290919
102	0.09543676177
103	0.09504083474
104	0.09483026537
105	0.09463849776
106	0.09431460364
107	0.09392135268
108	0.09342922433
109	0.09318985931
110	0.09276729962
111	0.09247697976
112	0.09223806234
113	0.09189189595
114	0.09159240546
115	0.09137716745
116	0.09106395603
117	0.09079937939
118	0.09055072058
119	0.09024647797
120	0.09005851186
121	0.08982529677
122	0.08968931328
123	0.08951131642
124	0.08934680436
125	0.08907032162
126	0.08888882571
127	0.08870953702
128	0.08831148452
129	0.0880948826
130	0.08787951983
131	0.08750682234
132	0.08737033184
133	0.08719357175
134	0.0869166689
135	0.0866304421
136	0.08651254195
137	0.0862945617
138	0.08607907079
139	0.08593385108
140	0.08564194138
141	0.08552366812
142	0.08532742398
143	0.08517376743
144	0.08490969392
145	0.08465267269
146	0.08430419764
147	0.08403155184
148	0.08370769247
149	0.08358156927
150	0.08332405156
151	0.08317973854
152	0.08305288797
153	0.0828005567
154	0.0824735761
155	0.08233340952
156	0.08211861685
157	0.08202619983
158	0.08174010961
159	0.08143086072
160	0.08119707218
161	0.08098609906
162	0.08078353354
163	0.08066463951
164	0.08044473077
165	0.08033973061
166	0.08019762242
167	0.08004346019
168	0.07992405585
169	0.07980277677
170	0.07963913494
171	0.07941696565
172	0.07913329826
173	0.07892295376
174	0.07878256063
175	0.07868817819
176	0.07858008189
177	0.07849588031
178	0.07831003726
179	0.0781316528
180	0.07768279019
181	0.07751240598
182	0.07729248731
183	0.07712468735
184	0.07695011843
185	0.0767379974
186	0.07654088844
187	0.07633920951
188	0.07620241327
189	0.07614054425
190	0.07595962612
191	0.07587707797
192	0.07577348918
193	0.07556981306
194	0.07545780372
195	0.0753398117
196	0.07514870731
197	0.07505840247
198	0.07495371532
199	0.07473449858
