alpha,vfuel,air_LPM,flame_length,max_temp,rop_NO,rop_NO2,rop_N2O
0.28,20.0,0.0,0.01957446808510638,301.44420576119967,6.327121266809512e-23,-1.4662657718520815e-22,-7.95211037547194e-22
0.28,20.0,21.11111111111111,0.00425531914893617,300.03250363493805,3.453384189254263e-65,3.453384189271127e-65,3.4533841892297844e-65
0.28,20.0,42.22222222222222,0.002553191489361702,300.00206835818005,3.4533841892669726e-65,3.4533841892498538e-65,3.4533841893870326e-65
0.28,20.0,63.33333333333333,0.001702127659574468,300.00372164175366,3.453384189488127e-65,3.4533841892316217e-65,3.453384189336937e-65
0.28,20.0,84.44444444444444,0.001276595744680851,300.0000000758535,3.4531312947477496e-65,3.453375060681822e-65,3.453371851844462e-65
0.28,20.0,105.55555555555556,0.000851063829787234,301.65569745546225,4.0275937331674415e-36,-9.922019370188344e-36,5.030350462988024e-37
0.28,20.0,126.66666666666666,0.000851063829787234,300.0005070014093,3.4533841890973402e-65,3.4533841889882095e-65,3.4533841892541853e-65
0.28,20.0,147.77777777777777,0.000851063829787234,300.00014819540667,3.4533841889947334e-65,3.453384189594128e-65,3.453384189516788e-65
0.28,20.0,168.88888888888889,0.000851063829787234,300.01711131521466,3.453384293958604e-65,3.4533841892893077e-65,3.4533841894233484e-65
0.28,20.0,190.0,0.000425531914893617,304.5549608949291,5.387661610208095e-64,3.45697241602126e-65,3.453384443500696e-65
0.28,23.0,0.0,0.01957446808510638,302.2292021771858,4.37259376642916e-22,-1.42923477088187e-22,1.875003891175634e-21
0.28,23.0,21.11111111111111,0.004680851063829788,300.03612033373895,3.453384189288029e-65,3.453384189275665e-65,3.453384189201128e-65
0.28,23.0,42.22222222222222,0.002553191489361702,300.0960412685029,3.4533841893761038e-65,3.4533841892529945e-65,3.4533841892211676e-65
0.28,23.0,63.33333333333333,0.001702127659574468,304.1591755463901,3.453384189252808e-65,3.45338418937684e-65,3.453384189330013e-65
0.28,23.0,84.44444444444444,0.001276595744680851,302.1344892046044,3.7306303854757365e-51,3.133060379596271e-55,5.118927742076361e-59
